"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C_HHCHUK11","C_HHCHUK11_NAME","C_HHCHUK11_CODE","C_HHCHUK11_TYPE","C_HHCHUK11_TYPECODE","C_HHCHUK11_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2001","2001","2001","date",0,0,"1946157124","Bradford","E08000032","local authorities: district / unitary (prior to April 2015)",464,0,"0","All categories: Household composition","0","Household Composition",1000000,0,"20100","Value",180246,"A","Normal Value","F","Free (free for publication)","Nm-1681d1d32016e0d1946157124d0d20100",0,8034
"2001","2001","2001","date",0,0,"1946157124","Bradford","E08000032","local authorities: district / unitary (prior to April 2015)",464,0,"1","One person","1","Household Composition",1000000,1,"20100","Value",51991,"A","Normal Value","F","Free (free for publication)","Nm-1681d1d32016e0d1946157124d1d20100",1,8034
"2001","2001","2001","date",0,0,"1946157124","Bradford","E08000032","local authorities: district / unitary (prior to April 2015)",464,0,"2","One person: Pensioner","2","Household Composition",1000000,2,"20100","Value",25856,"A","Normal Value","F","Free (free for publication)","Nm-1681d1d32016e0d1946157124d2d20100",2,8034
"2001","2001","2001","date",0,0,"1946157124","Bradford","E08000032","local authorities: district / unitary (prior to April 2015)",464,0,"3","One person: Other","3","Household Composition",1000000,3,"20100","Value",26135,"A","Normal Value","F","Free (free for publication)","Nm-1681d1d32016e0d1946157124d3d20100",3,8034
"2001","2001","2001","date",0,0,"1946157124","Bradford","E08000032","local authorities: district / unitary (prior to April 2015)",464,0,"4","One family and no others","4","Household Composition",1000000,4,"20100","Value",114257,"A","Normal Value","F","Free (free for publication)","Nm-1681d1d32016e0d1946157124d4d20100",4,8034
"2001","2001","2001","date",0,0,"1946157124","Bradford","E08000032","local authorities: district / unitary (prior to April 2015)",464,0,"5","One family and no others: All pensioner","5","Household Composition",1000000,5,"20100","Value",14590,"A","Normal Value","F","Free (free for publication)","Nm-1681d1d32016e0d1946157124d5d20100",5,8034
"2001","2001","2001","date",0,0,"1946157124","Bradford","E08000032","local authorities: district / unitary (prior to April 2015)",464,0,"6","One family and no others: Married Couple Households","6","Household Composition",1000000,6,"20100","Value",65785,"A","Normal Value","F","Free (free for publication)","Nm-1681d1d32016e0d1946157124d6d20100",6,8034
"2001","2001","2001","date",0,0,"1946157124","Bradford","E08000032","local authorities: district / unitary (prior to April 2015)",464,0,"7","One family and no others: Married Couple Households: No children","7","Household Composition",1000000,7,"20100","Value",21400,"A","Normal Value","F","Free (free for publication)","Nm-1681d1d32016e0d1946157124d7d20100",7,8034
"2001","2001","2001","date",0,0,"1946157124","Bradford","E08000032","local authorities: district / unitary (prior to April 2015)",464,0,"8","One family and no others: Married Couple Households: With one dependent child","8","Household Composition",1000000,8,"20100","Value",11315,"A","Normal Value","F","Free (free for publication)","Nm-1681d1d32016e0d1946157124d8d20100",8,8034
"2001","2001","2001","date",0,0,"1946157124","Bradford","E08000032","local authorities: district / unitary (prior to April 2015)",464,0,"9","One family and no others: Married Couple Households: With two or more dependent children","9","Household Composition",1000000,9,"20100","Value",22380,"A","Normal Value","F","Free (free for publication)","Nm-1681d1d32016e0d1946157124d9d20100",9,8034
