"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_HHCOMP_15","C2021_HHCOMP_15_NAME","C2021_HHCOMP_15_CODE","C2021_HHCOMP_15_TYPE","C2021_HHCOMP_15_TYPECODE","C2021_HHCOMP_15_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"0","Total: All households","0","Household composition",1000000,0,"20100","Value",671,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d0d20100",0,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"1001","One-person household","1001","Household composition",1000000,1,"20100","Value",246,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d1a2d20100",1,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"1","One-person household: Aged 66 years and over","_1","Household composition",1000000,2,"20100","Value",175,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d1d20100",2,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"2","One-person household: Other","_2","Household composition",1000000,3,"20100","Value",71,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d2d20100",3,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"1002","Single family household","1002","Household composition",1000000,4,"20100","Value",408,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d3a4a5a6a7a8a9a10a11a12d20100",4,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"3","Single family household: All aged 66 years and over","_3","Household composition",1000000,5,"20100","Value",132,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d3d20100",5,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"1003","Single family household: Married or civil partnership couple","1003","Household composition",1000000,6,"20100","Value",186,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d4a5a6d20100",6,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"4","Single family household: Married or civil partnership couple: No children","_4","Household composition",1000000,7,"20100","Value",80,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d4d20100",7,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"5","Single family household: Married or civil partnership couple: Dependent children","_5","Household composition",1000000,8,"20100","Value",76,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d5d20100",8,6908
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"6","Single family household: Married or civil partnership couple: All children non-dependent","_6","Household composition",1000000,9,"20100","Value",30,"A","Normal Value","F","Free (free for publication)","Nm-2023d1d32336e0d633350022d6d20100",9,6908
