"DATE","DATE_NAME","DATE_CODE","DATE_TYPE","DATE_TYPECODE","DATE_SORTORDER","GEOGRAPHY","GEOGRAPHY_NAME","GEOGRAPHY_CODE","GEOGRAPHY_TYPE","GEOGRAPHY_TYPECODE","GEOGRAPHY_SORTORDER","C2021_HHSIZE_10","C2021_HHSIZE_10_NAME","C2021_HHSIZE_10_CODE","C2021_HHSIZE_10_TYPE","C2021_HHSIZE_10_TYPECODE","C2021_HHSIZE_10_SORTORDER","MEASURES","MEASURES_NAME","OBS_VALUE","OBS_STATUS","OBS_STATUS_NAME","OBS_CONF","OBS_CONF_NAME","URN","RECORD_OFFSET","RECORD_COUNT"
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"0","Total: All households","0","Household size",1000000,0,"20100","Value",667,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350022d0d20100",0,3140
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"1","0 people in household","_0","Household size",1000000,1,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350022d1d20100",1,3140
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"2","1 person in household","_1","Household size",1000000,2,"20100","Value",246,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350022d2d20100",2,3140
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"3","2 people in household","_2","Household size",1000000,3,"20100","Value",274,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350022d3d20100",3,3140
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"4","3 people in household","_3","Household size",1000000,4,"20100","Value",70,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350022d4d20100",4,3140
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"5","4 people in household","_4","Household size",1000000,5,"20100","Value",57,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350022d5d20100",5,3140
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"6","5 people in household","_5","Household size",1000000,6,"20100","Value",16,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350022d6d20100",6,3140
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"7","6 people in household","_6","Household size",1000000,7,"20100","Value",4,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350022d7d20100",7,3140
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"8","7 people in household","_7","Household size",1000000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350022d8d20100",8,3140
"2021","2021","2021","date",0,0,"633350022","Bradford 001A","E01010646","2021 super output areas - lower layer",151,0,"9","8 or more people in household","_8","Household size",1000000,9,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350022d9d20100",9,3140
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"0","Total: All households","0","Household size",1000000,0,"20100","Value",527,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350023d0d20100",10,3140
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"1","0 people in household","_0","Household size",1000000,1,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350023d1d20100",11,3140
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"2","1 person in household","_1","Household size",1000000,2,"20100","Value",217,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350023d2d20100",12,3140
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"3","2 people in household","_2","Household size",1000000,3,"20100","Value",178,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350023d3d20100",13,3140
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"4","3 people in household","_3","Household size",1000000,4,"20100","Value",55,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350023d4d20100",14,3140
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"5","4 people in household","_4","Household size",1000000,5,"20100","Value",58,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350023d5d20100",15,3140
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"6","5 people in household","_5","Household size",1000000,6,"20100","Value",14,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350023d6d20100",16,3140
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"7","6 people in household","_6","Household size",1000000,7,"20100","Value",4,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350023d7d20100",17,3140
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"8","7 people in household","_7","Household size",1000000,8,"20100","Value",1,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350023d8d20100",18,3140
"2021","2021","2021","date",0,0,"633350023","Bradford 001B","E01010647","2021 super output areas - lower layer",151,1,"9","8 or more people in household","_8","Household size",1000000,9,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350023d9d20100",19,3140
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"0","Total: All households","0","Household size",1000000,0,"20100","Value",658,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350024d0d20100",20,3140
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"1","0 people in household","_0","Household size",1000000,1,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350024d1d20100",21,3140
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"2","1 person in household","_1","Household size",1000000,2,"20100","Value",199,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350024d2d20100",22,3140
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"3","2 people in household","_2","Household size",1000000,3,"20100","Value",301,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350024d3d20100",23,3140
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"4","3 people in household","_3","Household size",1000000,4,"20100","Value",80,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350024d4d20100",24,3140
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"5","4 people in household","_4","Household size",1000000,5,"20100","Value",61,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350024d5d20100",25,3140
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"6","5 people in household","_5","Household size",1000000,6,"20100","Value",12,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350024d6d20100",26,3140
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"7","6 people in household","_6","Household size",1000000,7,"20100","Value",5,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350024d7d20100",27,3140
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"8","7 people in household","_7","Household size",1000000,8,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350024d8d20100",28,3140
"2021","2021","2021","date",0,0,"633350024","Bradford 001C","E01010648","2021 super output areas - lower layer",151,2,"9","8 or more people in household","_8","Household size",1000000,9,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350024d9d20100",29,3140
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"0","Total: All households","0","Household size",1000000,0,"20100","Value",906,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350065d0d20100",30,3140
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"1","0 people in household","_0","Household size",1000000,1,"20100","Value",0,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350065d1d20100",31,3140
"2021","2021","2021","date",0,0,"633350065","Bradford 001D","E01010692","2021 super output areas - lower layer",151,3,"2","1 person in household","_1","Household size",1000000,2,"20100","Value",359,"A","Normal Value","F","Free (free for publication)","Nm-2037d1d32336e0d633350065d2d20100",32,3140
